OriginalUserID	Color
0	0
1	1
2	1
3	1
4	1
5	1
6	1
7	1
8	1
9	2
10	1
11	1
12	1
13	1
14	1
15	1
16	1
17	1
18	1
19	2
20	2
21	3
22	2
23	1
24	1
25	4
26	5
27	1
28	2
29	2
30	1
31	2
32	1
33	1
34	1
35	1
36	1
37	1
38	2
39	1
40	1
41	3
42	2
43	1
44	1
45	1
46	1
47	1
48	2
49	1
50	1
51	3
52	1
53	3
54	4
55	1
56	6
57	3
58	1
59	2
60	1
61	2
62	1
63	1
64	1
65	2
66	1
67	7
68	1
69	3
70	1
71	1
72	3
73	3
74	1
75	1
76	1
77	2
78	2
79	1
80	4
81	1
82	3
83	5
84	1
85	3
86	1
87	3
88	5
89	3
90	1
91	2
92	2
93	2
94	5
95	2
96	2
97	1
98	8
99	2
100	2
101	6
102	1
103	2
104	2
105	5
106	1
107	9
108	2
109	4
110	5
111	4
112	1
113	9
114	1
115	4
116	5
117	1
118	9
119	11
120	1
121	2
122	13
123	6
124	2
125	1
126	4
127	5
128	1
129	3
130	6
131	1
132	2
133	4
134	4
135	2
136	4
137	5
138	1
139	1
140	6
141	11
142	8
143	4
144	7
145	1
146	2
147	4
148	6
149	3
150	3
151	4
152	2
153	1
154	1
155	2
156	5
157	1
158	6
159	7
160	2
161	11
162	1
163	1
164	1
165	4
166	1
167	3
168	4
169	14
170	9
171	2
172	13
173	2
174	3
175	5
176	7
177	6
178	3
179	2
180	8
181	7
182	2
183	1
184	11
185	8
186	11
187	3
188	16
189	4
190	3
191	1
192	2
193	4
194	9
195	8
196	4
197	12
198	2
199	16
200	17
201	4
202	3
203	18
204	11
205	1
206	4
207	1
208	1
209	1
210	1
211	5
212	8
213	8
214	7
215	1
216	1
217	6
218	9
219	2
220	2
221	2
222	1
223	19
224	9
225	7
226	10
227	8
228	3
229	1
230	4
231	5
232	11
233	2
234	1
235	2
236	12
237	6
238	7
239	20
240	2
241	2
242	12
243	2
244	2
245	4
246	7
247	3
248	8
249	13
250	1
251	7
252	18
253	1
254	1
255	2
256	1
257	2
258	4
259	3
260	1
261	4
262	1
263	3
264	4
265	2
266	7
267	2
268	1
269	3
270	2
271	10
272	9
273	3
274	4
275	4
276	3
277	12
278	3
279	1
280	6
281	4
282	1
283	2
284	6
285	3
286	2
287	1
288	1
289	1
290	1
291	7
292	1
293	1
294	1
295	1
296	4
297	1
298	4
299	7
300	1
301	2
302	4
303	9
304	14
305	1
306	5
307	2
308	6
309	3
310	6
311	1
312	8
313	12
314	5
315	11
316	2
317	4
318	5
319	5
320	8
321	1
322	15
323	14
324	5
325	15
326	9
327	1
328	6
329	10
330	8
331	7
332	15
333	4
334	10
335	1
336	1
337	7
338	1
339	5
340	2
341	3
342	14
343	6
344	3
345	2
346	10
347	6
348	15
414	14
428	16
1684	21
1912	88
2814	0
2838	0
2885	0
3003	3
3173	5
3290	4
353	10
363	16
366	13
376	20
389	10
420	6
475	21
483	22
484	18
517	23
526	21
538	24
563	7
566	25
580	15
596	7
601	1
606	25
629	0
637	7
641	13
649	1
651	7
896	25
897	10
898	1
899	0
900	0
901	16
902	10
903	17
904	1
905	3
906	16
907	1
908	8
909	7
910	0
911	0
912	1
913	5
914	4
915	7
916	31
917	18
918	0
919	7
920	1
921	30
922	0
923	0
924	15
925	36
926	1
927	11
928	1
929	0
930	14
931	4
932	10
933	1
934	12
935	3
936	17
937	2
938	14
939	5
940	0
941	12
942	13
943	3
944	7
945	0
946	54
947	28
948	10
949	7
950	2
951	3
952	0
953	27
954	17
955	6
956	6
957	24
958	15
959	11
960	26
961	3
962	1
963	18
964	3
965	0
966	30
967	18
968	8
969	0
970	2
971	14
972	0
973	2
974	4
975	26
976	2
977	11
978	19
979	7
980	28
981	12
982	4
983	13
984	20
985	2
986	1
987	1
988	0
989	1
990	6
991	2
992	6
993	3
994	3
995	8
996	1
997	23
998	3
999	14
1000	3
1001	10
1002	2
1003	12
1004	24
1005	2
1006	28
1007	1
1008	0
1009	5
1010	6
1011	10
1012	1
1013	1
1014	16
1015	1
1016	3
1017	27
1018	8
1019	24
1020	0
1021	0
1022	0
1023	0
1024	0
1025	0
1026	0
1027	0
1028	1
1029	0
1030	0
1031	0
1032	1
1033	0
1034	0
1035	0
1036	1
1037	1
1038	0
1039	0
1040	1
1041	0
1042	0
1043	1
1044	0
1045	0
1046	0
1047	0
1048	1
1049	0
1050	0
1051	1
1052	2
1053	0
1054	1
1055	1
1056	2
1057	0
1058	0
1059	2
1060	1
1061	0
1062	1
1063	0
1064	0
1065	0
1066	2
1067	2
1068	0
1069	2
1070	3
1071	0
1072	2
1073	1
1074	2
1075	3
1076	1
1077	1
1078	3
1079	0
1080	1
1081	3
1082	0
1083	2
1084	1
1085	2
1086	4
1087	0
1088	0
1089	0
1090	0
1091	0
1092	0
1093	0
1094	1
1095	0
1096	0
1097	0
1098	1
1099	4
1100	3
1101	1
1102	3
1103	0
1104	4
1105	0
1106	0
1107	4
1108	5
1109	4
1110	4
1111	2
1112	1
1113	2
1114	0
1115	1
1116	3
1117	1
1118	1
1119	0
1120	2
1121	1
1122	0
1123	1
1124	5
1125	6
1126	7
1127	1
1128	5
1129	5
1130	3
1131	1
1132	5
1133	1
1134	0
1135	0
1136	1
1137	2
1138	1
1139	1
1140	0
1141	1
1142	0
1143	0
1144	2
1145	0
1146	6
1147	1
1148	3
1149	8
1150	0
1151	0
1152	4
1153	8
1154	0
1155	2
1156	2
1157	0
1158	7
1159	5
1160	4
1161	2
1162	0
1163	12
1164	1
1165	3
1166	5
1167	1
1168	1
1169	3
1170	4
1171	3
1172	13
1173	11
1174	3
1175	13
1176	0
1177	0
1178	1
1179	4
1180	0
1181	4
1182	2
1183	6
1184	11
1185	16
1186	5
1187	0
1188	7
1189	5
1190	2
1191	16
1192	14
1193	1
1194	1
1195	4
1196	0
1197	4
1198	8
1199	18
1200	0
1201	16
1202	2
1203	1
1204	8
1205	7
1206	0
1207	13
1208	1
1209	2
1210	7
1211	20
1212	2
1213	1
1214	30
1215	3
1216	10
1217	1
1218	2
1219	0
1220	2
1221	7
1222	21
1223	2
1224	0
1225	6
1226	8
1227	19
1228	2
1229	11
1230	24
1231	27
1232	13
1233	0
1234	4
1235	21
1236	11
1237	12
1238	20
1239	1
1240	2
1241	0
1242	6
1243	10
1244	2
1245	6
1246	4
1247	3
1248	1
1249	2
1250	26
1251	5
1252	1
1253	1
1254	2
1255	28
1256	25
1257	6
1258	6
1259	12
1260	4
1261	12
1262	0
1263	2
1264	0
1265	3
1266	3
1267	30
1268	1
1269	21
1270	0
1271	19
1272	11
1273	6
1274	1
1275	2
1276	0
1277	6
1278	5
1279	1
1280	3
1281	3
1282	7
1283	1
1284	4
1285	7
1286	2
1287	2
1288	10
1289	2
1290	7
1291	8
1292	10
1293	0
1294	3
1295	1
1296	5
1297	0
1298	3
1299	3
1300	1
1301	2
1302	11
1303	5
1304	5
1305	2
1306	4
1307	4
1308	0
1309	5
1310	6
1311	2
1312	5
1313	2
1314	2
1315	5
1316	7
1317	4
1318	6
1319	6
1320	5
1321	3
1322	13
1323	13
1324	6
1325	2
1326	0
1327	6
1328	4
1329	20
1330	16
1331	6
1332	4
1333	7
1334	4
1335	19
1336	12
1337	5
1338	8
1339	8
1340	5
1341	12
1342	1
1343	3
1344	13
1345	17
1346	2
1347	18
1348	6
1349	7
1350	10
1351	2
1352	23
1353	0
1354	1
1355	10
1356	3
1357	2
1358	8
1359	17
1360	7
1361	19
1362	0
1363	2
1364	0
1365	2
1366	13
1367	55
1368	5
1369	7
1370	23
1371	14
1372	1
1373	14
1374	11
1375	12
1376	27
1377	29
1378	15
1379	5
1380	0
1381	2
1382	13
1383	2
1384	2
1385	0
1386	0
1387	4
1388	18
1389	5
1390	29
1391	31
1392	1
1393	11
1394	0
1395	0
1396	15
1397	1
1398	4
1399	32
1400	6
1401	0
1402	5
1403	5
1404	7
1405	19
1406	3
1407	14
1408	8
1409	5
1410	10
1411	0
1412	8
1413	26
1414	0
1415	4
1416	31
1417	0
1418	1
1419	0
1420	37
1421	6
1422	4
1423	17
1424	1
1425	11
1426	28
1427	11
1428	1
1429	15
1430	0
1431	40
1432	5
1433	11
1434	0
1435	7
1436	10
1437	7
1438	1
1439	0
1440	3
1441	6
1442	2
1443	1
1444	0
1445	4
1446	17
1447	34
1448	8
1449	14
1450	2
1451	17
1452	20
1453	7
1454	17
1455	1
1456	39
1457	5
1458	2
1459	29
1460	5
1461	0
1462	30
1463	0
1464	8
1465	21
1466	0
1467	36
1468	19
